R = 0.246645, T = 0.000911671
R = 0.267412, T = 0.00225135
R = 0.265166, T = 0.0017692
R = 0.271427, T = 0.00171223
R = 0.267532, T = 0.00213437
R = 0.264425, T = 0.00186989
R = 0.262272, T = 0.00211608
R = 0.262999, T = 0.00252969
R = 0.264561, T = 0.00229505
R = 0.234708, T = 0.0021909
R = 0.264771, T = 0.00310852
R = 0.264904, T = 0.00217373
R = 0.265786, T = 0.00195569
R = 0.262515, T = 0.00221891
R = 0.26444, T = 0.00199534
R = 0.266826, T = 0.00221969
R = 0.271436, T = 0.00303378
R = 0.257526, T = 0.00255958
R = 0.262813, T = 0.00195321
R = 0.26614, T = 0.00221404
R = 0.26205, T = 0.0028721
R = 0.26911, T = 0.00279402
R = 0.270939, T = 0.00226324
R = 0.262072, T = 0.00255192
R = 0.268536, T = 0.00204392
R = 0.265692, T = 0.00219043
R = 0.265796, T = 0.00191493
R = 0.265266, T = 0.00244921
R = 0.264272, T = 0.00227939
R = 0.263109, T = 0.00254379
R = 0.263372, T = 0.00190361
R = 0.262133, T = 0.00205258
R = 0.264396, T = 0.00202107
R = 0.266733, T = 0.00168538
R = 0.264297, T = 0.00127108
R = 0.26311, T = 0.00155486
R = 0.263564, T = 0.00127121
R = 0.260982, T = 0.00178948
R = 0.262173, T = 0.00187839
R = 0.260968, T = 0.00151338
R = 0.264831, T = 0.00169163
R = 0.262042, T = 0.00113958
R = 0.26378, T = 2.5515e-005
R = 0.265444, T = 1.1712e-005
R = 0.266845, T = 1.97941e-005
R = 0.263734, T = 2.33829e-005
R = 0.270619, T = 2.13673e-005
R = 0.259639, T = 1.74947e-005
R = 0.260933, T = 4.05411e-005
R = 0.267983, T = 1.57849e-005
R = 0.263044, T = 2.32565e-005
R = 0.268316, T = 1.50793e-005
R = 0.262613, T = 2.09196e-005
R = 0.269272, T = 1.16499e-005
R = 0.266663, T = 3.32251e-005
R = 0.265652, T = 5.91417e-006
R = 0.262215, T = 0.00257863
R = 0.263711, T = 0.00298652
R = 0.262528, T = 0.00317883
R = 0.266755, T = 0.00323735
R = 0.258506, T = 0.00417502
R = 0.26463, T = 0.00335669
R = 0.257582, T = 0.00294522
R = 0.258614, T = 0.00280083
R = 0.258399, T = 0.00334503
R = 0.263453, T = 0.00279809
R = 0.258203, T = 0.00323891
R = 0.258855, T = 1.20023e-005
R = 0.261546, T = 1.74695e-005
R = 0.26015, T = 1.0798e-005
R = 0.25968, T = 1.85641e-005
